Density(kg/m3),Tensile_Strength(MPa),Hardness(HB),Thermal_Conductivity(W/mK),Elastic_Modulus(GPa),Class
4627.832546,82.956112,1162.824509,106.996393,483.921347,Ceramic
4692.429175,372.600623,2469.528926,120.163504,437.812514,Ceramic
4335.971899,924.179732,283.469758,69.056691,83.912318,Metal
3155.874216,557.582798,397.818532,135.387719,85.603600,Metal
812.691417,88.686080,18.495150,0.163442,4.143184,Polymer
2127.880031,50.559481,1519.613203,93.016875,148.275213,Ceramic
980.475499,37.330800,18.406808,0.118671,4.391014,Polymer
905.824862,70.562880,26.253985,0.367794,3.537896,Polymer
3751.306826,239.425107,2588.152133,17.528696,142.356744,Ceramic
7584.015675,1142.121843,338.263580,35.948386,67.919884,Metal
8160.651582,1102.084348,104.961392,131.006735,125.058045,Metal
7261.587312,209.223663,276.482540,147.150860,73.421319,Metal
3756.433844,219.559923,2399.486226,37.552094,423.658086,Ceramic
5782.647733,193.757248,180.352725,306.841181,111.309379,Metal
3485.472894,928.857888,197.602773,106.709161,186.300675,Metal
5160.510576,604.628370,348.336668,321.950792,111.501643,Metal
901.909014,5.945128,40.506096,0.477457,0.442196,Polymer
1487.361447,20.610845,4.011948,0.403677,3.307677,Polymer
8366.322355,163.590813,271.062647,291.080416,162.261477,Metal
4422.208762,542.203100,288.304730,230.371963,101.734914,Metal
5636.923413,23.793072,1127.429936,79.640969,468.180237,Ceramic
3784.756203,118.464114,1815.505757,118.462895,360.814835,Ceramic
5550.699586,395.150285,1451.714835,30.397067,220.612565,Ceramic
1034.145047,73.884375,37.262559,0.150402,4.959781,Polymer
864.973697,57.419656,26.545457,0.402819,0.816936,Polymer
1357.619089,61.287842,12.825649,0.409663,3.638016,Polymer
2441.767625,48.773955,1369.745057,94.421440,241.789338,Ceramic
1255.673694,16.851232,15.600095,0.394743,2.276673,Polymer
5221.550248,494.720038,1870.552789,134.256496,351.097741,Ceramic
6371.067945,485.370849,149.587423,318.219920,171.525260,Metal
4857.403915,269.439991,1043.846661,49.849197,332.947618,Ceramic
3445.070131,67.034159,2250.265094,124.437207,132.778865,Ceramic
1421.956508,50.244042,22.862040,0.247718,2.640753,Polymer
5873.142496,534.260723,142.292798,209.554376,121.981773,Metal
8551.731450,638.495173,390.645369,333.048496,74.538851,Metal
1297.805397,17.291593,35.521710,0.445309,0.607930,Polymer
1131.348893,75.917149,47.259408,0.247733,4.760072,Polymer
5156.029084,232.953071,250.117664,35.307214,76.061767,Metal
8941.630657,433.586091,220.073939,320.657406,74.163767,Metal
2816.231803,1083.678221,361.170022,101.920953,189.251262,Metal
3295.131386,483.513838,354.649288,178.678559,147.420046,Metal
8351.867372,959.484284,216.329642,293.612728,152.970651,Metal
4019.055445,241.249359,1569.816418,67.912136,446.538221,Ceramic
1359.868135,68.127720,21.071788,0.193129,1.989078,Polymer
8727.516699,1079.047482,307.569478,265.448281,197.212107,Metal
4287.979175,402.156215,2239.237008,84.595609,149.512645,Ceramic
3750.773767,780.574460,251.899454,40.092267,146.941545,Metal
1133.084985,90.202107,6.893876,0.474473,0.915122,Polymer
1350.729932,28.302236,35.575267,0.455062,2.232263,Polymer
4427.419285,212.862975,516.957474,129.434176,109.305299,Ceramic
5197.086753,1045.613251,161.083852,117.727561,69.489586,Metal
917.709195,18.683254,13.522172,0.135851,1.547835,Polymer
3599.741812,775.922972,163.851744,30.325053,59.945303,Metal
4580.269515,554.105093,163.476227,162.695000,190.716038,Metal
941.791621,76.452705,29.715425,0.297192,3.766902,Polymer
3248.028917,166.695176,212.688237,174.689056,132.309157,Metal
4019.312962,1074.771486,144.205908,386.120381,164.766563,Metal
1188.295215,79.595348,15.926029,0.262698,0.437864,Polymer
3822.469895,1164.702664,180.656827,394.417312,182.944023,Metal
5254.390968,1102.642005,208.109700,20.380402,128.990849,Metal
3156.997819,486.599266,401.411622,140.092516,292.874504,Ceramic
7956.670191,518.168866,172.996272,260.238637,149.477058,Metal
2795.650747,913.101240,247.078552,134.242572,117.201833,Metal
897.755188,57.865513,14.693457,0.272785,3.060018,Polymer
3273.215767,347.408478,1290.851666,39.942719,401.077600,Ceramic
4098.533852,1181.324142,169.570432,194.723750,151.917323,Metal
1284.291542,66.412113,1.100328,0.290612,4.509196,Polymer
3652.652131,449.728725,2228.579155,114.607321,315.252581,Ceramic
4596.389104,57.211096,480.463553,124.980496,368.645231,Ceramic
3411.978929,410.134999,2551.413771,54.336895,170.874655,Ceramic
4788.120538,24.047060,1603.000582,140.500930,277.831063,Ceramic
813.847169,31.707776,46.148536,0.243128,0.468033,Polymer
4470.660461,889.590483,131.990280,207.647295,111.709860,Metal
1433.155313,72.161961,11.245230,0.178435,4.109195,Polymer
8154.455511,726.012455,222.903963,229.678371,162.172532,Metal
6935.493409,721.654257,72.876219,68.733630,61.058385,Metal
1198.932303,26.656692,26.630918,0.412901,0.975421,Polymer
5967.805414,352.633191,1785.647945,38.685240,324.046391,Ceramic
8596.287398,805.062915,380.075978,39.707863,209.589086,Metal
8968.192098,401.439156,288.060716,197.302956,111.450213,Metal
5535.209767,127.783139,1122.625880,63.589248,279.544599,Ceramic
936.225698,12.771846,29.019161,0.110149,3.692472,Polymer
3695.281027,55.731376,1049.958820,25.507755,224.322343,Ceramic
3128.719633,627.963062,332.820676,245.161693,156.470508,Metal
4127.661561,218.624719,133.425724,149.504748,59.253586,Metal
7661.722277,1137.902335,321.512315,255.435291,179.896757,Metal
6263.074050,194.088169,71.240431,32.670597,103.257504,Metal
2260.112875,81.217180,2789.701048,66.845842,220.588430,Ceramic
2927.636684,845.320903,245.740318,132.068373,114.847432,Metal
1326.374350,27.145638,30.379217,0.363890,0.072821,Polymer
7668.570405,1067.931984,266.730694,149.054260,209.389425,Metal
3816.307053,177.532961,900.451425,16.300758,338.070043,Ceramic
1352.591497,23.393381,29.087395,0.354945,1.296305,Polymer
7210.049738,589.086745,135.103367,322.869722,60.283501,Metal
1105.093690,96.175428,37.964308,0.224475,4.428405,Polymer
2589.636250,168.163719,1291.540821,55.955669,103.232737,Ceramic
6908.952433,163.049411,227.487754,337.366473,195.979375,Metal
3770.146343,320.409094,367.975076,318.400247,108.063827,Metal
7016.080249,1180.115581,259.916806,145.835265,148.329827,Metal
4464.412549,220.973738,821.927965,68.691012,415.676555,Ceramic
953.584117,5.351222,11.928229,0.192110,3.127122,Polymer
1314.210324,95.495882,17.244240,0.396033,1.042475,Polymer
1492.914631,39.467629,4.612827,0.112007,0.593643,Polymer
936.082411,60.640207,38.511104,0.117562,0.167834,Polymer
921.902626,89.111312,36.222997,0.235927,2.781435,Polymer
815.044420,85.073735,45.621799,0.108398,3.393713,Polymer
7618.191523,222.065910,377.639936,135.927504,90.825489,Metal
4643.634861,471.757643,2940.464800,149.656542,452.665518,Ceramic
2261.510078,89.327478,2802.804215,119.439819,176.672517,Ceramic
4932.659463,759.504079,391.943539,112.928863,57.853183,Metal
3729.164068,689.015176,326.355726,144.518630,59.054026,Metal
5491.405968,428.721266,2917.799200,132.989309,183.695029,Ceramic
1129.467106,68.032709,4.178779,0.303446,3.761514,Polymer
5809.530362,648.446554,212.493547,142.292790,113.559383,Metal
4862.599491,257.500172,1097.672192,60.740965,468.474089,Ceramic
2737.929172,341.478911,121.050174,348.003940,117.302996,Metal
1422.096251,59.280187,46.839446,0.249643,2.761749,Polymer
858.819705,47.228005,18.227173,0.333585,2.336960,Polymer
5269.665233,614.306088,193.133471,325.711697,103.893472,Metal
3667.177252,357.169440,275.874198,156.455315,64.011147,Metal
4051.163958,328.954112,2443.270569,139.064282,139.363644,Ceramic
826.796970,24.029127,10.635670,0.231697,1.527524,Polymer
4734.157319,151.742987,2234.670858,149.701360,499.362039,Ceramic
4959.284024,457.943614,422.188084,45.621649,428.923542,Ceramic
3615.244566,214.764072,1907.879829,98.640968,288.801598,Ceramic
7447.543492,264.209257,189.126850,106.231995,177.353303,Metal
5852.864778,964.572113,315.167455,294.553934,128.438193,Metal
3252.299334,110.166345,2402.340772,104.993249,183.833901,Ceramic
6129.904313,512.170184,252.127957,68.771344,210.370180,Metal
1367.280969,84.258394,17.651290,0.267659,3.435099,Polymer
7561.182130,691.364407,164.127830,28.831139,183.510828,Metal
2614.764958,477.266022,1258.651373,94.846057,341.201114,Ceramic
8135.140911,1178.189327,121.471616,168.441736,140.863399,Metal
876.046849,59.103926,23.125231,0.457898,0.484343,Polymer
1187.034743,8.045620,34.762203,0.295445,0.949727,Polymer
1474.096189,31.962674,12.418932,0.363828,0.368498,Polymer
1162.972176,21.323443,43.125660,0.264344,0.802037,Polymer
1175.517113,50.433859,4.369387,0.482039,4.331183,Polymer
943.973903,46.059064,35.773909,0.289912,3.026473,Polymer
4349.967814,261.188010,2180.573416,42.040706,102.977324,Ceramic
844.779030,42.927507,40.570726,0.310343,4.553307,Polymer
3840.818240,296.543721,2316.955848,43.898856,452.397629,Ceramic
7052.057508,882.812727,154.107055,252.950454,187.697410,Metal
974.394372,90.496639,36.928954,0.283131,4.555949,Polymer
1198.030686,42.387375,47.338681,0.195878,4.355287,Polymer
1239.658242,32.729511,45.898520,0.379218,3.617599,Polymer
1145.441304,99.277024,28.088371,0.498127,0.401138,Polymer
1336.577356,35.971248,23.095863,0.201107,2.540202,Polymer
2975.770698,863.934286,312.407649,164.839116,176.812764,Metal
3586.697311,25.153933,698.175064,137.653409,230.844145,Ceramic
3939.036949,52.753842,1825.914205,37.101748,480.007370,Ceramic
1374.298683,84.948441,9.358866,0.107226,0.520565,Polymer
1174.257683,42.130703,4.801680,0.405436,3.393368,Polymer
1050.660893,25.583881,2.687797,0.370018,1.096509,Polymer
5346.004565,409.525676,2066.631692,107.745155,458.803952,Ceramic
4504.107631,157.656782,51.633006,313.515684,180.409421,Metal
3498.578814,134.499355,637.604718,63.830727,495.716250,Ceramic
3748.986828,835.844401,127.198748,355.268702,185.477108,Metal
2671.531550,100.182682,1480.768026,17.044890,230.856586,Ceramic
3732.058984,327.831247,239.595929,376.790827,70.536673,Metal
1049.603428,21.494048,20.704835,0.226496,1.958150,Polymer
2929.105846,996.593381,277.480748,160.212385,61.446316,Metal
1011.073974,61.892564,49.172022,0.140725,2.690184,Polymer
5401.860135,102.300373,2893.490231,90.380205,492.566358,Ceramic
4711.602090,486.736089,2203.673935,50.474936,354.141381,Ceramic
3271.867900,428.746022,1653.538985,50.930678,343.413329,Ceramic
4985.414098,804.651150,131.348917,243.238048,218.024747,Metal
1231.444072,90.194046,16.133583,0.395165,3.791084,Polymer
2889.499608,511.975991,153.815156,77.634822,84.745506,Metal
1446.386398,61.817143,47.347948,0.395702,1.656875,Polymer
1250.521450,77.246919,26.522770,0.491027,3.247271,Polymer
816.585333,85.458810,17.232243,0.196900,2.705773,Polymer
4660.024076,139.202264,2187.109581,108.205831,343.225279,Ceramic
4590.640442,586.596979,52.114931,350.549361,61.897436,Metal
1244.056871,18.445541,11.006781,0.136704,2.971301,Polymer
5727.250761,133.428862,603.227735,109.023377,224.585188,Ceramic
2979.699833,104.689042,1047.320519,43.517581,279.308477,Ceramic
4267.095101,959.417818,78.005590,389.570976,117.701560,Metal
1108.963250,53.002793,37.011477,0.404130,4.101627,Polymer
2079.244309,203.081270,2620.509747,114.069890,468.613000,Ceramic
3493.191608,899.313059,140.052103,196.187469,127.112528,Metal
6439.164818,179.133615,97.829722,198.318223,76.303157,Metal
808.983991,52.566482,36.541923,0.296581,4.629942,Polymer
5881.970547,199.109551,1672.832897,96.516260,335.323602,Ceramic
2752.374835,1113.763573,184.689104,234.931265,83.018794,Metal
4159.179710,1104.394595,302.785853,213.651178,133.065713,Metal
4785.821648,332.435041,2808.948766,110.613967,196.941148,Ceramic
1369.188487,64.940508,34.144854,0.378989,3.233761,Polymer
1118.829539,69.701316,13.460114,0.340860,4.759856,Polymer
2049.349550,390.066649,2075.433216,137.615545,259.066769,Ceramic
8356.471725,670.390748,116.088138,180.719047,191.057426,Metal
1011.553696,96.929926,33.265817,0.253115,1.553735,Polymer
8196.603056,900.417287,81.105704,261.748494,182.037490,Metal
3427.637631,923.603080,375.505903,171.228683,102.377058,Metal
5265.557512,20.757717,581.587887,104.751189,309.984796,Ceramic
7264.774533,287.697682,181.127986,287.537935,83.663490,Metal
1463.938318,47.812775,40.904152,0.174255,0.313731,Polymer
1331.415279,29.638432,45.211391,0.263517,3.141650,Polymer
8144.352947,282.738746,152.593955,163.536844,97.049574,Metal
6306.701601,625.686831,285.481607,58.307474,60.379599,Metal
2028.906633,299.573815,2967.808969,15.429436,308.933818,Ceramic
1222.089410,98.755200,38.306835,0.472851,2.376694,Polymer
5291.448539,507.863634,361.553269,399.789151,188.864023,Metal
4660.313141,201.649135,548.828014,54.048356,232.102101,Ceramic
1119.843482,71.339286,36.535789,0.455188,0.711538,Polymer
8148.534331,407.414283,294.742617,329.719668,112.633082,Metal
6782.694684,622.719370,194.594307,91.415275,217.650839,Metal
5250.476191,27.982546,1336.534592,7.817388,423.023125,Ceramic
1111.014311,62.642487,20.608094,0.345037,0.425219,Polymer
8554.642552,1123.928955,395.405012,345.698000,203.884470,Metal
3175.451893,113.636938,772.219757,78.488110,328.757050,Ceramic
4018.546463,81.373450,2471.733977,45.900897,369.224864,Ceramic
8186.107550,284.858137,206.200345,63.957884,162.649159,Metal
948.148575,76.558989,33.327510,0.135773,2.185769,Polymer
2640.941111,465.904332,2746.886149,115.180015,188.150414,Ceramic
1133.411623,90.263534,7.031807,0.154303,2.682026,Polymer
2361.767018,352.056583,2667.045578,139.835213,406.534955,Ceramic
6685.912514,514.711355,301.104957,299.680945,114.880586,Metal
6152.349642,1041.755113,332.956619,104.949318,69.667294,Metal
862.397599,75.355216,46.923322,0.397847,0.598209,Polymer
8046.647009,1149.475481,251.920895,20.637827,60.520439,Metal
8006.270878,1177.834448,161.875046,158.709060,165.481369,Metal
4079.005529,308.776467,977.568049,59.901545,315.317177,Ceramic
3440.555113,1137.178900,343.025829,209.936413,127.483370,Metal
3448.159541,831.885775,330.452114,287.127388,151.809652,Metal
1493.234578,16.729081,49.845582,0.382609,2.401848,Polymer
3980.102101,357.987429,1379.442431,147.190276,233.257819,Ceramic
2842.452343,371.675889,2507.088496,105.360705,121.026522,Ceramic
2716.080930,254.002233,1418.700446,147.674042,363.700124,Ceramic
5964.252860,283.012597,1277.266384,102.006904,496.125720,Ceramic
3564.252379,273.365329,1135.903662,104.760071,178.036871,Ceramic
3575.089815,82.832328,2355.892848,87.477168,422.028715,Ceramic
4838.350126,239.615600,825.605617,21.496583,378.382210,Ceramic
901.376018,25.722965,37.670743,0.394128,0.065480,Polymer
4302.728388,345.592547,2970.058888,22.993213,480.159262,Ceramic
7970.790592,1118.583870,83.616706,390.180329,80.537589,Metal
1486.193732,66.759291,30.076227,0.487891,3.142323,Polymer
2720.953381,364.940963,221.019063,281.433960,212.274412,Metal
4939.915665,860.974335,328.363823,270.237164,182.214238,Metal
4601.243746,152.103699,2098.308232,55.731135,148.000154,Ceramic
1142.452909,68.535260,25.977676,0.109211,2.873450,Polymer
4279.211246,919.895224,328.020300,88.816706,132.312551,Metal
5318.767111,728.565409,84.804439,44.129354,204.509689,Metal
2739.559394,410.176610,451.340610,83.852964,314.566716,Ceramic
3954.253050,269.072536,1920.276003,107.348620,416.027077,Ceramic
1327.091734,96.739699,44.982513,0.172266,3.003531,Polymer
1188.305238,81.048732,7.029220,0.151526,1.047025,Polymer
1193.747347,85.887760,2.715259,0.491971,2.540619,Polymer
6038.776477,565.356460,380.829970,20.032514,101.101996,Metal
4077.772287,395.744876,2113.809703,67.293123,330.828588,Ceramic
4090.665040,493.289371,1315.504527,81.193214,183.935802,Ceramic
1373.834307,27.524534,10.215609,0.219884,4.166486,Polymer
4408.577548,123.699184,1333.569422,20.145325,348.925097,Ceramic
978.477160,41.269320,45.279337,0.260024,0.434605,Polymer
1097.740355,70.978960,27.259312,0.128223,3.668721,Polymer
4787.211735,112.461162,1367.569875,98.940390,428.203283,Ceramic
5227.962072,268.840551,397.357147,184.778310,54.404677,Metal
3003.909880,237.083346,88.496546,228.380138,61.213091,Metal
4858.326650,466.869083,145.638551,350.165041,88.380130,Metal
1064.009187,97.033481,19.552985,0.142001,4.629667,Polymer
1309.829190,34.122208,41.245819,0.295847,2.654221,Polymer
5461.593398,284.740271,1979.414055,134.588966,168.298967,Ceramic
3558.253323,185.682986,2327.372560,145.232042,312.672855,Ceramic
8022.595105,624.548056,94.650271,23.609038,137.306121,Metal
888.457852,40.986063,37.035696,0.121146,3.632588,Polymer
4830.009662,139.573581,1982.627775,106.311228,173.241810,Ceramic
5193.875595,261.070038,1117.139733,64.736997,476.670804,Ceramic
5256.093002,166.489967,2630.595833,142.170743,262.605914,Ceramic
863.098415,12.550112,36.767698,0.477947,0.842263,Polymer
1320.386620,57.645179,25.149676,0.449741,4.811588,Polymer
5806.435355,903.877103,217.879582,215.704365,219.652252,Metal
4791.527811,214.626297,2002.345178,136.722074,398.366904,Ceramic
4810.366855,379.840617,1034.988242,111.108490,480.347356,Ceramic
5521.327583,273.493481,1983.903382,91.498658,485.858954,Ceramic
5527.722262,271.287880,985.178303,12.193234,435.763574,Ceramic
8691.143415,564.994496,182.683168,161.847806,69.249697,Metal
2999.060894,278.777419,2392.676169,18.561945,219.671197,Ceramic
949.146161,75.112444,28.873255,0.186985,1.538003,Polymer
4571.894542,416.349146,492.115730,69.995490,347.099477,Ceramic
4812.336415,777.083273,164.993130,154.479243,50.876250,Metal
2744.630826,190.175515,663.478225,74.314872,133.897512,Ceramic
3499.119331,236.226913,220.594254,79.139552,161.627686,Metal
1076.751178,33.432070,21.988732,0.172873,4.061488,Polymer
1107.000448,84.738959,8.929881,0.241495,2.181122,Polymer
8158.341457,318.311080,116.348474,35.297397,117.072821,Metal
5603.991241,96.950001,917.379003,72.414953,366.097158,Ceramic
1094.766726,57.261749,40.191184,0.385728,1.637941,Polymer
5527.066123,260.892120,2801.259252,126.616374,255.539403,Ceramic
875.515709,7.009460,8.621557,0.300000,3.841577,Polymer
1274.817223,37.503395,48.845488,0.394973,2.182956,Polymer
1140.150471,77.285490,13.139618,0.160998,2.565974,Polymer
1336.709323,87.095847,49.718596,0.198942,4.106635,Polymer
1294.522629,81.945485,35.356103,0.300934,0.922317,Polymer
4364.784796,324.549052,996.398900,20.712076,115.346573,Ceramic
5716.393326,224.625429,2002.815131,14.549379,120.382146,Ceramic
4491.898653,796.640973,130.999677,147.747584,131.463190,Metal
6685.175511,434.718989,144.236131,126.611257,109.674167,Metal
4578.965752,152.312034,64.311195,39.809642,176.608300,Metal
1130.440715,91.305788,5.937323,0.173936,4.742674,Polymer
4478.318518,206.575943,54.781554,229.671926,196.535626,Metal
7318.398668,497.523460,322.582908,220.967584,113.170688,Metal
3865.216462,522.454292,360.517830,69.584454,176.239864,Metal
1210.593019,91.656799,33.063403,0.176173,3.529207,Polymer
2299.518405,282.357931,1291.534719,109.077248,495.857846,Ceramic
1304.538626,9.162055,10.393630,0.320198,1.277577,Polymer
5413.753177,455.271127,2935.328009,134.342041,279.392888,Ceramic
5643.396718,52.500078,1489.410819,139.768517,301.547771,Ceramic
1219.407564,71.187092,7.317778,0.118178,2.839550,Polymer
4775.213337,375.543294,1433.483953,103.019448,448.102288,Ceramic
2662.072880,380.349340,1398.791092,117.126454,260.339584,Ceramic
928.846438,20.200290,11.672578,0.378689,4.398192,Polymer
3821.763948,359.721930,1765.190326,46.208116,188.134531,Ceramic
4208.603684,102.132367,518.592411,36.494299,115.636270,Ceramic
1418.521731,93.088556,14.251308,0.416249,3.219217,Polymer
1376.387187,55.786518,1.068598,0.238985,3.033694,Polymer
3041.100015,876.007889,242.246275,294.390245,119.418290,Metal
4610.128413,162.989774,335.572755,333.094079,87.277531,Metal
2706.940957,486.370258,1797.210606,146.835596,411.274397,Ceramic
2425.770930,377.969499,1393.150542,98.419883,448.010315,Ceramic
6080.705723,998.531733,127.223663,122.141531,148.882846,Metal
5011.590791,94.707909,1002.480171,109.216632,247.456003,Ceramic
2374.764249,107.126501,881.072859,129.490474,175.543969,Ceramic
7241.619950,812.320699,57.366556,81.909087,80.214826,Metal
6450.843500,176.399532,75.217041,113.196457,204.552279,Metal
2400.935195,272.853704,2289.588025,121.390916,341.317407,Ceramic
2634.653451,1009.218473,317.206015,264.903203,57.435807,Metal
858.516882,18.550383,31.741834,0.105399,4.832477,Polymer
2425.355778,373.343125,1279.813784,106.410907,180.928657,Ceramic
6158.533024,588.758818,107.100555,146.067401,76.267265,Metal
1284.428839,64.611156,7.030700,0.429970,0.532020,Polymer
1158.079691,84.465922,7.949916,0.464867,0.139524,Polymer
3457.947316,820.901057,129.059537,354.016239,115.406447,Metal
5291.139481,73.956162,840.853560,17.410212,140.694502,Ceramic
3429.231616,315.534449,707.712523,138.574622,467.949441,Ceramic
4418.025528,105.472533,1779.249666,90.342111,371.773325,Ceramic
1267.091369,33.648558,41.060565,0.239354,0.537534,Polymer
4646.926861,467.783280,2507.870479,106.984696,130.547797,Ceramic
1453.166464,19.121080,33.136852,0.228102,1.965186,Polymer
5142.184376,249.647366,575.015450,87.098589,483.834126,Ceramic
863.312913,99.503310,9.911744,0.254007,1.610193,Polymer
7007.235425,555.338780,327.725557,146.716755,186.363958,Metal
4098.402791,560.525595,223.985803,222.832846,140.520654,Metal
3538.509014,298.862690,1496.785979,87.103589,377.399581,Ceramic
4812.373253,132.892673,407.451875,149.091892,106.861861,Ceramic
8724.502514,1112.994511,70.852086,152.752063,194.287755,Metal
5276.041810,161.454698,774.764630,128.143519,488.727841,Ceramic
2969.989634,417.354468,545.250731,21.532396,484.820794,Ceramic
3509.843133,32.646504,2908.774301,56.380950,380.560705,Ceramic
2979.506922,1021.180914,354.666942,31.470578,112.091517,Metal
853.945708,59.072400,40.871852,0.159887,0.928474,Polymer
4992.428497,355.310684,1178.720009,62.316850,234.934796,Ceramic
4780.988098,157.649154,805.307074,132.292414,112.847643,Ceramic
4013.181691,25.216437,2564.968245,102.305628,450.390605,Ceramic
7891.868499,1111.065253,225.655353,289.554070,122.023944,Metal
1481.185630,54.542599,48.918388,0.150053,1.075084,Polymer
3922.891684,302.063150,311.098508,232.531829,193.091208,Metal
3873.744383,170.331037,2068.916169,124.260798,165.929744,Ceramic
4586.588783,113.470683,681.842293,12.593478,341.276067,Ceramic
2112.195439,155.459327,1808.076579,10.732556,338.844302,Ceramic
3236.480450,284.811861,2059.811299,5.822652,207.667205,Ceramic
4259.187253,290.594875,2454.586828,7.806411,225.832117,Ceramic
2033.914923,191.191589,1134.245668,60.322322,177.953483,Ceramic
4902.752499,487.448357,2226.907707,15.509596,262.914625,Ceramic
2404.011533,407.597280,790.485311,88.489151,252.844693,Ceramic
8038.176125,419.131319,103.038234,195.980365,200.484658,Metal
1302.923895,89.018196,40.566326,0.361688,3.848752,Polymer
1474.567151,54.048576,36.707311,0.360558,4.652531,Polymer
7604.787080,472.922780,176.110724,345.261970,123.253246,Metal
5096.700003,206.064450,942.933667,91.947698,129.999316,Ceramic
1239.452752,52.264668,40.431596,0.157049,4.354878,Polymer
8798.156270,959.590069,80.508689,55.763318,103.332179,Metal
2645.889940,154.456315,1344.653491,14.295157,171.674501,Ceramic
3031.776398,247.165258,1065.668389,131.622023,360.116833,Ceramic
886.776357,59.029678,2.940039,0.443601,2.016677,Polymer
5668.560466,81.912434,1353.503891,126.880511,480.817983,Ceramic
6934.305829,656.536673,141.989601,352.703854,166.034450,Metal
6685.134104,915.146816,135.685875,332.069313,51.350301,Metal
3162.642401,95.938786,1438.129093,11.873823,255.289200,Ceramic
3107.770281,612.465356,274.869569,362.048076,129.025009,Metal
1312.244686,92.158733,46.202047,0.407287,1.013366,Polymer
1022.099404,99.661632,24.828456,0.380916,2.391573,Polymer
826.797637,19.795406,24.028410,0.356087,1.614529,Polymer
1220.754189,41.127058,46.886524,0.244597,2.161947,Polymer
2851.503848,1054.822662,383.425753,279.795147,95.874179,Metal
3043.343342,176.184955,191.773968,133.367985,171.075139,Metal
4099.111772,341.429312,1074.562787,124.751815,136.976504,Ceramic
3368.076592,381.524504,827.786531,53.042163,267.640431,Ceramic
6977.398206,276.758076,293.841530,154.783103,167.793244,Metal
2564.554808,961.379611,258.995024,49.567311,163.553623,Metal
4604.261736,1185.004742,378.639171,302.277812,175.242279,Metal
905.354396,48.572611,8.226843,0.445721,0.585762,Polymer
3625.546553,269.932015,409.559917,68.133286,433.004331,Ceramic
1114.530056,97.098464,5.774857,0.187449,4.895579,Polymer
6049.560480,282.711131,182.144800,152.272511,211.904070,Metal
4307.345717,26.898089,2515.826308,3.412499,458.661965,Ceramic
8140.427964,869.248861,277.119087,193.279044,119.765758,Metal
6026.035605,675.486805,317.778399,63.084400,79.888347,Metal
3649.818544,754.380991,239.967008,164.994063,193.665573,Metal
3749.974687,155.959214,2012.978873,138.845204,442.798907,Ceramic
5223.759050,69.829779,2089.023924,92.822795,264.511866,Ceramic
7386.223931,1119.951800,84.895725,188.759275,148.809709,Metal
1002.933121,44.960881,11.921089,0.281852,1.917778,Polymer
1128.701970,16.821853,48.413189,0.465612,2.076415,Polymer
4815.339827,375.753467,419.773351,56.821926,189.574640,Ceramic
1415.725013,30.127412,42.085725,0.418055,2.085288,Polymer
1430.131077,44.382883,1.760973,0.161350,1.884541,Polymer
5280.137561,307.973924,1271.233839,143.914928,497.131650,Ceramic
1481.443226,23.302738,32.577284,0.431420,4.010632,Polymer
3337.658019,799.900840,392.074472,86.012563,203.709133,Metal
5343.110316,209.535716,330.410191,211.617678,157.344982,Metal
5372.122907,321.112823,1076.598319,83.382921,479.480122,Ceramic
865.285785,46.554999,31.815812,0.337315,0.158535,Polymer
5682.377576,57.810802,1394.252608,111.608604,152.219206,Ceramic
6604.761649,493.933487,133.902659,361.205511,100.476826,Metal
4094.153715,958.031848,325.116870,312.748802,162.073808,Metal
1454.483125,64.606611,32.280942,0.331742,0.535028,Polymer
6373.313872,217.784319,148.862063,359.949820,65.772114,Metal
4849.082566,1022.147472,186.780073,206.594044,53.732685,Metal
1471.452021,12.249705,34.679484,0.250102,1.581653,Polymer
5234.196221,106.307089,426.364758,27.622884,326.917540,Ceramic
2704.428079,1173.507462,397.808852,203.886177,154.380849,Metal
3529.523744,915.866512,374.304113,93.281199,55.024391,Metal
1158.221305,19.472872,43.476839,0.145915,1.100450,Polymer
953.832778,74.135670,47.052557,0.207036,2.418243,Polymer
3394.213519,284.718615,1165.234281,112.033974,298.320682,Ceramic
5099.623986,312.359662,110.535830,281.081834,200.843532,Metal
1074.978147,60.446584,38.555994,0.224634,3.974616,Polymer
3951.327158,443.771520,1501.717037,112.314811,426.356880,Ceramic
6447.421726,572.244273,248.499712,162.104985,157.558739,Metal
917.074337,8.207201,26.056484,0.334748,1.481498,Polymer
4580.391882,483.269720,1315.858673,5.461053,171.961694,Ceramic
1353.627461,38.985729,4.559376,0.362782,1.872382,Polymer
2489.214421,172.922788,428.342663,50.001539,286.150651,Ceramic
5594.975896,289.587480,1402.536296,90.668485,310.904945,Ceramic
994.633928,62.750916,44.284646,0.443965,0.392624,Polymer
3687.000563,382.976578,1226.236566,48.698090,178.849301,Ceramic
3994.603874,495.324664,1495.216840,19.489809,168.455892,Ceramic
1068.000263,59.759313,14.966809,0.357467,4.283393,Polymer
5646.572574,156.495593,2588.271446,61.018808,458.331810,Ceramic
2156.480978,329.492320,580.580698,15.172853,421.005313,Ceramic
3098.694185,381.772294,1440.895291,83.911080,225.269864,Ceramic
5056.628696,866.102633,209.103609,342.495479,214.415930,Metal
1061.734258,63.707815,2.435121,0.119134,0.071772,Polymer
1026.001328,70.321897,22.348441,0.168077,0.971975,Polymer
3475.518132,453.382680,2972.869077,140.182443,447.205949,Ceramic
